"Variety","Subgroup","Family","ISO Code","Glottolog ID","AIATSIS Code","StdLangID","StdLanguageName","OriginalForm","PhonemicisedIPA","Std_Gloss","Author","OriginalGloss","OriginalPofSpeech","Latitude","Longitude","Reconstruction_Form","Reconstruction_Level","Reconstruction_Gloss","Reconstruction_Notes"
"Gamilaraay","Central NSW",,,,,"1023",,"gawu","kawu",,"Ash, A. and Lissarrague, A. and Giacon, J","egg","N",,,"*kapu","","egg",""
"Gamilaraay","Central NSW",,,,,"1023",,"bundaa-gi","puntaːki",,"Ash, A. and Lissarrague, A. and Giacon, J","fall","Vi",,,"*punta:-ki","","fall",""
"Gamilaraay","Central NSW",,,,,"1023",,"wamu","wamu",,"Ash, A. and Lissarrague, A. and Giacon, J","grease","N",,,"*wamu","","fat, grease",""
"Gamilaraay","Central NSW",,,,,"1023",,"wii","wiː",,"Ash, A. and Lissarrague, A. and Giacon, J","fire","N",,,"*wi:-2","","fire",""
"Gamilaraay","Central NSW",,,,,"1023",,"burruluu","puruluː",,"Ash, A. and Lissarrague, A. and Giacon, J","fly","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"yuul","juːl",,"Ash, A. and Lissarrague, A. and Giacon, J","vegetable food","N",,,"*yu:l","","vegetable food",""
"Gamilaraay","Central NSW",,,,,"1023",,"ngulu","ŋulu",,"Ash, A. and Lissarrague, A. and Giacon, J","forehead","N",,,"*ŋulu","","forehead",""
"Gamilaraay","Central NSW",,,,,"1023",,"wuu-rri","wuːri",,"Ash, A. and Lissarrague, A. and Giacon, J","give","V",,,"*wu:-rri","","give",""
"Gamilaraay","Central NSW",,,,,"1023",,"dhawun","t̪awun",,"Ash, A. and Lissarrague, A. and Giacon, J","ground","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"mara","maɹa",,"Ash, A. and Lissarrague, A. and Giacon, J","hand","N",,,"*mara-2","","hand",""
"Gamilaraay","Central NSW",,,,,"1023",,"gawugaa","kawukaː",,"Ash, A. and Lissarrague, A. and Giacon, J","head","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"winanga-li","winaŋali",,"Ash, A. and Lissarrague, A. and Giacon, J","hear","V",,,"*winanga-li","","hear",""
"Gamilaraay","Central NSW",,,,,"1023",,"buma-li","pumali",,"Ash, A. and Lissarrague, A. and Giacon, J","hit (with hand)","Vt",,,"*puma-li","","hit",""
"Gamilaraay","Central NSW",,,,,"1023",,"yuulngin","juːlŋin",,"Ash, A. and Lissarrague, A. and Giacon, J","hungry","Adj",,,"*yu:lŋin","","hungry",""
"Gamilaraay","Central NSW",,,,,"1023",,"ngaya","ŋaja",,"Ash, A. and Lissarrague, A. and Giacon, J","I","Pro",,,"*naya","","I",""
"Gamilaraay","Central NSW",,,,,"1023",,"buu, garril","puː",,"Ash, A. and Lissarrague, A. and Giacon, J","leaf","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gana","kana",,"Ash, A. and Lissarrague, A. and Giacon, J","liver","N",,,"*kana-2","","liver",""
"Gamilaraay","Central NSW",,,,,"1023",,"guraarr","kuɹaːr",,"Ash, A. and Lissarrague, A. and Giacon, J","long","Adj",,,"*kura:rr","","long",""
"Gamilaraay","Central NSW",,,,,"1023",,"dhii","t̪iː",,"Ash, A. and Lissarrague, A. and Giacon, J","meat, animal","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gilay","kilaj",,"Ash, A. and Lissarrague, A. and Giacon, J","moon","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gayrr","kajr",,"Ash, A. and Lissarrague, A. and Giacon, J","name","N",,,"*kayrr","","name",""
"Gamilaraay","Central NSW",,,,,"1023",,"yilaadhu","jilaːt̪u",,"Ash, A. and Lissarrague, A. and Giacon, J","now, today","Adv",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"maal","maːl",,"Ash, A. and Lissarrague, A. and Giacon, J","one","Num",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"mari","maɹi",,"Ash, A. and Lissarrague, A. and Giacon, J","person, Aborigine","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"nhuwi","n̪uwi",,"Ash, A. and Lissarrague, A. and Giacon, J","rotten","Adj",,,"*nhuwi","","rotten",""
"Gamilaraay","Central NSW",,,,,"1023",,"ngami-li","ŋamili",,"Ash, A. and Lissarrague, A. and Giacon, J","see","V",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"ngarri-y","ŋarij",,"Ash, A. and Lissarrague, A. and Giacon, J","sit","V",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gunagala","kunakala",,"Ash, A. and Lissarrague, A. and Giacon, J","sky","N",,,"*gunagala","","",""
"Gamilaraay","Central NSW",,,,,"1023",,"gaay, gaaynmara","kaːj",,"Ash, A. and Lissarrague, A. and Giacon, J","small","Adj",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"buwi-y","puwij",,"Ash, A. and Lissarrague, A. and Giacon, J","smell it","Vt",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dhuu","t̪uː",,"Ash, A. and Lissarrague, A. and Giacon, J","smoke","N",,,"*cupu","","smoke",""
"Gamilaraay","Central NSW",,,,,"1023",,"dhuru","t̪uɹu",,"Ash, A. and Lissarrague, A. and Giacon, J","snake","N",,,"*thurruŋ","","snake",""
"Gamilaraay","Central NSW",,,,,"1023",,"guwaa-li","kuwaː.li",,"Ash, A. and Lissarrague, A. and Giacon, J","speak","V",,,"*kuwa:-li","","speak",""
"Gamilaraay","Central NSW",,,,,"1023",,"bilaarr","pilaːr",,"Ash, A. and Lissarrague, A. and Giacon, J","spear","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"mirii","miɹiː",,"Ash, A. and Lissarrague, A. and Giacon, J","star","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"maarama, yarral, maayama","maːɹama",,"Ash, A. and Lissarrague, A. and Giacon, J","stone","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"yaraay","jaɹaːj",,"Ash, A. and Lissarrague, A. and Giacon, J","sun","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dhun","t̪un",,"Ash, A. and Lissarrague, A. and Giacon, J","tail","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"nhalay","n̪alaj",,"Ash, A. and Lissarrague, A. and Giacon, J","this","D",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dhulu","t̪ulu",,"Ash, A. and Lissarrague, A. and Giacon, J","tree","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"bulaarr","pulaːr",,"Ash, A. and Lissarrague, A. and Giacon, J","two","Num",,,"*pula","","they (Du)",""
"Gamilaraay","Central NSW",,,,,"1023",,"gali","kali",,"Ash, A. and Lissarrague, A. and Giacon, J","water","N",,,"*kali","Pama-Nyungan","water",""
"Gamilaraay","Central NSW",,,,,"1023",,"minya, minyama","miɲa",,"Ash, A. and Lissarrague, A. and Giacon, J","what?","Pro",,,"*miña","","what",""
"Gamilaraay","Central NSW",,,,,"1023",,"dhalaa","t̪alaː",,"Ash, A. and Lissarrague, A. and Giacon, J","where?","Adv",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"ngaandu, ngaandi","ŋaːntu",,"Ash, A. and Lissarrague, A. and Giacon, J","who?","Pro",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"mayrraa","majraː",,"Ash, A. and Lissarrague, A. and Giacon, J","wind","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"yinarr, wirringgaa","jinar",,"Ash, A. and Lissarrague, A. and Giacon, J","woman","N",,,"*yinarr","","woman",""
"Gamilaraay","Central NSW",,,,,"1023",,"balu-gi","paluki",,"Ash, A. and Lissarrague, A. and Giacon, J","die","V",,,"*palu-ki","","die",""
"Gamilaraay","Central NSW",,,,,"1023",,"gaa-gi","kaː.ki",,"Ash, A. and Lissarrague, A. and Giacon, J","take","Vt",,,"*ka:","","carry",""
"Gamilaraay","Central NSW",,,,,"1023",,"waa-li","waː.li",,"Ash, A. and Lissarrague, A. and Giacon, J","throw","V",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dhu-rri","t̪uri",,"Ash, A. and Lissarrague, A. and Giacon, J","spear","N",,,"*thu-rri","","spear",""
"Gamilaraay","Central NSW",,,,,"1023",,"gindama-y","kintamaj",,"Ash, A. and Lissarrague, A. and Giacon, J","laugh","V",,,"*kintama-y","","",""
"Gamilaraay","Central NSW",,,,,"1023",,"marrabaa, gaba","marapaː",,"Ash, A. and Lissarrague, A. and Giacon, J","good","Adj",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gagil","kakil",,"Ash, A. and Lissarrague, A. and Giacon, J","bad","Adj",,,"*kaca","","rotten",""
"Gamilaraay","Central NSW",,,,,"1023",,"mawu-gi","mawuki",,"Ash, A. and Lissarrague, A. and Giacon, J","dig","V",,,"*mawu-ki","","dig",""
"Gamilaraay","Central NSW",,,,,"1023",,"bagay, dharra, mayan, gaawal","pakaj",,"Ash, A. and Lissarrague, A. and Giacon, J","creek","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"ngurrugu","ŋuruku",,"Ash, A. and Lissarrague, A. and Giacon, J","tomorrow","Adv",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gulibaa","kulipaː",,"Ash, A. and Lissarrague, A. and Giacon, J","three","Num",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"guwiin, guwiinbaa","kuwiːn",,"Ash, A. and Lissarrague, A. and Giacon, J","near","Adv",,,"*kuwi:npa:","","near",""
"Gamilaraay","Central NSW",,,,,"1023",,"nguru","ŋuɹu",,"Ash, A. and Lissarrague, A. and Giacon, J","he","Pro",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"barran","paran",,"Ash, A. and Lissarrague, A. and Giacon, J","boomerang","N",,,"*parran","","boomerang","or cognate with 4985?"
"Gamilaraay","Central NSW",,,,,"1023",,"burriin","puriːn",,"Ash, A. and Lissarrague, A. and Giacon, J","shield","N",,,"*purri:n","","shield",""
"Gamilaraay","Central NSW",,,,,"1023",,"wirriil, yadhaarr","wiriːl",,"Ash, A. and Lissarrague, A. and Giacon, J","feather","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"mudhay","mut̪aj",,"Ash, A. and Lissarrague, A. and Giacon, J","possum","N",,,"*muthay","","possum",""
"Gamilaraay","Central NSW",,,,,"1023",,"gulayaali","kulajaːli",,"Ash, A. and Lissarrague, A. and Giacon, J","pelican","N",,,"*kulaya:li","","pelican",""
"Gamilaraay","Central NSW",,,,,"1023",,"guya","kuja",,"Ash, A. and Lissarrague, A. and Giacon, J","fish","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"mungin","muŋin",,"Ash, A. and Lissarrague, A. and Giacon, J","mosquito","N",,,"*muŋin","","mosquito",""
"Gamilaraay","Central NSW",,,,,"1023",,"garaarr","kaɹaːr",,"Ash, A. and Lissarrague, A. and Giacon, J","grass","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gundaa, yuru","kuntaː",,"Ash, A. and Lissarrague, A. and Giacon, J","cloud","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"garaay, gumbugan","kaɹaːj",,"Ash, A. and Lissarrague, A. and Giacon, J","sand","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"madhanbaa","mat̪anpaː",,"Ash, A. and Lissarrague, A. and Giacon, J","heavy","Adj",,,"*manthanpa:","","heavy",""
"Gamilaraay","Central NSW",,,,,"1023",,"gabanbaa","kapanpaː",,"Ash, A. and Lissarrague, A. and Giacon, J","light","N",,,"*kapanpa:","","light",""
"Gamilaraay","Central NSW",,,,,"1023",,"balal","palal",,"Ash, A. and Lissarrague, A. and Giacon, J","dry","Adj",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"ganay","kanaj",,"Ash, A. and Lissarrague, A. and Giacon, J","yamstick, digging stick","N",,,"*kana","","digging stick",""
"Gamilaraay","Central NSW",,,,,"1023",,"dhulii","t̪uliː",,"Ash, A. and Lissarrague, A. and Giacon, J","goanna","N",,,"*thuli:yn","","sand goanna",""
"Gamilaraay","Central NSW",,,,,"1023",,"yaluu","jaluː",,"Ash, A. and Lissarrague, A. and Giacon, J","again","Adv",,,"*yalu","","there",""
"Gamilaraay","Central NSW",,,,,"1023",,"garigari, giyal","kaɹikaɹi",,"Ash, A. and Lissarrague, A. and Giacon, J","afraid (be) (V, Adj)","Vi",,,"*karikari","Central-NSW","afraid (be)",""
"Gamilaraay","Central NSW",,,,,"1023",,"murrun","murun",,"Ash, A. and Lissarrague, A. and Giacon, J","alive","Adj",,,"*murrun","NSW areal","alive","any more recs to this level?"
"Gamilaraay","Central NSW",,,,,"1023",,"ganu","kanu",,"Ash, A. and Lissarrague, A. and Giacon, J","all","Num",,,"*kanu-2","Central-NSW","",""
"Gamilaraay","Central NSW",,,,,"1023",,"baabi-li","paːpili",,"Ash, A. and Lissarrague, A. and Giacon, J","sleep","Vi",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"nganda","ŋanta",,"Ash, A. and Lissarrague, A. and Giacon, J","canoe (bark)","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dhinawan","t̪inawan",,"Ash, A. and Lissarrague, A. and Giacon, J","emu","N",,,"*cinawan","Central-NSW","emu","probably loan in Badjiri"
"Gamilaraay","Central NSW",,,,,"1023",,"garriil","kariːl",,"Ash, A. and Lissarrague, A. and Giacon, J","cold (be)","Adj",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"marayn","maɹajn",,"Ash, A. and Lissarrague, A. and Giacon, J","dingo","N",,,"*marayn","","dingo",""
"Gamilaraay","Central NSW",,,,,"1023",,"wandhala","want̪ala",,"Ash, A. and Lissarrague, A. and Giacon, J","eaglehawk","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"bigibila, marrawal","pikipila",,"Ash, A. and Lissarrague, A. and Giacon, J","echidna","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"burraalga","puraːlka",,"Ash, A. and Lissarrague, A. and Giacon, J","brolga (native companion)","N",,,"*purrarlka","","brolga","why final a? (CB)"
"Gamilaraay","Central NSW",,,,,"1023",,"galaarr, gulaarr","kalaːr",,"Ash, A. and Lissarrague, A. and Giacon, J","how?","Adv",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dhaya","t̪aja",,"Ash, A. and Lissarrague, A. and Giacon, J","brother (elder)","N",,,"*thaya","","brother (elder)",""
"Gamilaraay","Central NSW",,,,,"1023",,"galumaay","kalumaːj",,"Ash, A. and Lissarrague, A. and Giacon, J","brother (younger)","N",,,"*kaluma:y","","brother (younger)",""
"Gamilaraay","Central NSW",,,,,"1023",,"baawaa, bagaan, dhawurran","paːwaː",,"Ash, A. and Lissarrague, A. and Giacon, J","sister (older)","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"bagaan, bariyan","pakaːn",,"Ash, A. and Lissarrague, A. and Giacon, J","sister (younger)","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gunii, gunidjarr, ngambaa","kuniː",,"Ash, A. and Lissarrague, A. and Giacon, J","mother","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"baayna, bubaa, buwadjarr","paːjna",,"Ash, A. and Lissarrague, A. and Giacon, J","father","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"badhii, waabi","pat̪iː",,"Ash, A. and Lissarrague, A. and Giacon, J","mother’s mother","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dhaadhaa","t̪aːt̪aː",,"Ash, A. and Lissarrague, A. and Giacon, J","mother’s father","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"garrimaay, mamaay","karimaːj",,"Ash, A. and Lissarrague, A. and Giacon, J","father’s mother","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"garruu","karuː",,"Ash, A. and Lissarrague, A. and Giacon, J","mother’s brother","N",,,"*karru:","","mother's brother",""
"Gamilaraay","Central NSW",,,,,"1023",,"ngamurr, wurrumay","ŋamur",,"Ash, A. and Lissarrague, A. and Giacon, J","son or daughter (man’s)","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"ngamurr, wurrumay","ŋamur",,"Ash, A. and Lissarrague, A. and Giacon, J","son or daughter (woman’s)","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"dhiirra-y, winanga-y","t̪iːraj",,"Ash, A. and Lissarrague, A. and Giacon, J","know (something)","V",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"waragaal","waɹakaːl",,"Ash, A. and Lissarrague, A. and Giacon, J","left","Adj",,,"*wayaka:l","","left",""
"Gamilaraay","Central NSW",,,,,"1023",,"dhuruyaal","t̪uɹujaːl",,"Ash, A. and Lissarrague, A. and Giacon, J","right","Adj",,,"*thuruya:l","","right",""
"Gamilaraay","Central NSW",,,,,"1023",,"guliirr","kuliːr",,"Ash, A. and Lissarrague, A. and Giacon, J","husband","N",,,"*kuli:rr","","husband",""
"Gamilaraay","Central NSW",,,,,"1023",,"guliirr","kuliːr",,"Ash, A. and Lissarrague, A. and Giacon, J","wife","N",,,"*guliirr","","wife",""
"Gamilaraay","Central NSW",,,,,"1023",,"gima","kima",,"Ash, A. and Lissarrague, A. and Giacon, J","mouse","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gamil, marayrr","kamil",,"Ash, A. and Lissarrague, A. and Giacon, J","no, not","Part",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"ngurru, buluuy","ŋuru",,"Ash, A. and Lissarrague, A. and Giacon, J","night","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"mubalyaal","mupaʎaːl",,"Ash, A. and Lissarrague, A. and Giacon, J","pregnant","Adj",,,"*mupalya:l","","pregnant",""
"Gamilaraay","Central NSW",,,,,"1023",,"yuluwirri","juluwiri",,"Ash, A. and Lissarrague, A. and Giacon, J","rainbow","N",,,"*yuluwirri","","rainbow",""
"Gamilaraay","Central NSW",,,,,"1023",,"dhigaraa","t̪ikaɹaː",,"Ash, A. and Lissarrague, A. and Giacon, J","bird","N",,,"*dhigayaa","","",""
"Gamilaraay","Central NSW",,,,,"1023",,"walaay","walaːj",,"Ash, A. and Lissarrague, A. and Giacon, J","camp","N",,,"*wala:y","","camp",""
"Gamilaraay","Central NSW",,,,,"1023",,"bungun","puŋun",,"Ash, A. and Lissarrague, A. and Giacon, J","wing","N",,,"*bungun","","wing",""
"Gamilaraay","Central NSW",,,,,"1023",,"gubi-y","kupij",,"Ash, A. and Lissarrague, A. and Giacon, J","swim","Vi",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"wiya-gi","wijaki",,"Ash, A. and Lissarrague, A. and Giacon, J","cook","V",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"winanga-y","winaŋaj",,"Ash, A. and Lissarrague, A. and Giacon, J","think","V",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"gama-li","kamali",,"Ash, A. and Lissarrague, A. and Giacon, J","break","Vi",,,"*kama-li","","break",""
"Gamilaraay","Central NSW",,,,,"1023",,"yambuli","jampuli",,"Ash, A. and Lissarrague, A. and Giacon, J","old woman","N",,,,,,
"Gamilaraay","Central NSW",,,,,"1023",,"bin.guwi","pinkuwi",,"Ash, A. and Lissarrague, A. and Giacon, J","coolamon","N",,,"*pin.kuwi","","coolamon",""
"Gamilaraay","Central NSW",,,,,"1023",,"baburr, dhina","papur",,"Ash, A. and Lissarrague, A. and Giacon, J","foot","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"girran","kiran",,"Ash, A. and Lissarrague, A. and Giacon, J","ashes","N",,,"*kirran","Central-NSW","ashes",""
"Yuwaalaraay","Central NSW",,,,,"5",,"burrul, -bidi","purul",,"Ash, A. and Lissarrague, A. and Giacon, J","big","Adj",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"yii-li","jiː.li",,"Ash, A. and Lissarrague, A. and Giacon, J","bite","V",,,"*yii-li","Central-NSW","bite",""
"Yuwaalaraay","Central NSW",,,,,"5",,"buluuy","puluːj",,"Ash, A. and Lissarrague, A. and Giacon, J","black","Adj",,,"*bulu:y","Central-NSW","black",""
"Yuwaalaraay","Central NSW",,,,,"5",,"gayla-y, gudhuwa-y","kajlaj",,"Ash, A. and Lissarrague, A. and Giacon, J","burn","Vi",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"galiya-y","kalijaj",,"Ash, A. and Lissarrague, A. and Giacon, J","climb","V",,,"*kaliya-y","","climb",""
"Yuwaalaraay","Central NSW",,,,,"5",,"yu-gi","juki",,"Ash, A. and Lissarrague, A. and Giacon, J","cry","Vi",,,"*yu-ki","","cry",""
"Yuwaalaraay","Central NSW",,,,,"5",,"garra-li","karali",,"Ash, A. and Lissarrague, A. and Giacon, J","cut","Vt",,,"*karra-li","","cut",""
"Yuwaalaraay","Central NSW",,,,,"5",,"buyuma, maadhaay, mirri","pujuma",,"Ash, A. and Lissarrague, A. and Giacon, J","dog","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"ngadaa","ŋataː",,"Ash, A. and Lissarrague, A. and Giacon, J","down, below","Adv",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"ngarribaa","ŋaripaː",,"Ash, A. and Lissarrague, A. and Giacon, J","east","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"dha-li","t̪ali",,"Ash, A. and Lissarrague, A. and Giacon, J","eat","Vt",,,"*ca","","eat",""
"Yuwaalaraay","Central NSW",,,,,"5",,"gawu","kawu",,"Ash, A. and Lissarrague, A. and Giacon, J","egg","N",,,"*kapu","","egg",""
"Yuwaalaraay","Central NSW",,,,,"5",,"bundaa-gi","puntaːki",,"Ash, A. and Lissarrague, A. and Giacon, J","fall","Vi",,,"*punta:-ki","","fall",""
"Yuwaalaraay","Central NSW",,,,,"5",,"wamu","wamu",,"Ash, A. and Lissarrague, A. and Giacon, J","grease","N",,,"*wamu","","fat, grease",""
"Yuwaalaraay","Central NSW",,,,,"5",,"wii","wiː",,"Ash, A. and Lissarrague, A. and Giacon, J","fire","N",,,"*wi:-2","","fire",""
"Yuwaalaraay","Central NSW",,,,,"5",,"bahaayal, buna","pahaːjal",,"Ash, A. and Lissarrague, A. and Giacon, J","fly","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"dhuwarr, yuul","t̪uwar",,"Ash, A. and Lissarrague, A. and Giacon, J","vegetable food","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"ngulu","ŋulu",,"Ash, A. and Lissarrague, A. and Giacon, J","forehead","N",,,"*ŋulu","","forehead",""
"Yuwaalaraay","Central NSW",,,,,"5",,"wuu-rri","wuː.ri",,"Ash, A. and Lissarrague, A. and Giacon, J","give","V",,,"*wu:-rri","","give",""
"Yuwaalaraay","Central NSW",,,,,"5",,"dhaymaarr","t̪ajmaːr",,"Ash, A. and Lissarrague, A. and Giacon, J","ground","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"maa","maː",,"Ash, A. and Lissarrague, A. and Giacon, J","hand","N",,,"*mara-2","","hand",""
"Yuwaalaraay","Central NSW",,,,,"5",,"dhaygal","t̪ajkal",,"Ash, A. and Lissarrague, A. and Giacon, J","head","N",,,"*thaykal","","hair",""
"Yuwaalaraay","Central NSW",,,,,"5",,"winanga-li","winaŋali",,"Ash, A. and Lissarrague, A. and Giacon, J","hear","V",,,"*winanga-li","","hear",""
"Yuwaalaraay","Central NSW",,,,,"5",,"buma-li","pumali",,"Ash, A. and Lissarrague, A. and Giacon, J","hit (with hand)","Vt",,,"*puma-li","","hit",""
"Yuwaalaraay","Central NSW",,,,,"5",,"ngaya","ŋaja",,"Ash, A. and Lissarrague, A. and Giacon, J","I","Pro",,,"*naya","","I",""
"Yuwaalaraay","Central NSW",,,,,"5",,"girraa","kiraː",,"Ash, A. and Lissarrague, A. and Giacon, J","leaf","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"guyaarr","kujaːr",,"Ash, A. and Lissarrague, A. and Giacon, J","long","Adj",,,"*kura:rr","","long",""
"Yuwaalaraay","Central NSW",,,,,"5",,"dhii, dhinggaa","t̪iː",,"Ash, A. and Lissarrague, A. and Giacon, J","meat, animal","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"baaluu, gilay","paːluː",,"Ash, A. and Lissarrague, A. and Giacon, J","moon","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"gayrr","kajr",,"Ash, A. and Lissarrague, A. and Giacon, J","name","N",,,"*kayrr","","name",""
"Yuwaalaraay","Central NSW",,,,,"5",,"ngaarribiyan","ŋaːripijan",,"Ash, A. and Lissarrague, A. and Giacon, J","north","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"yalagiyu, -nga","jalakiju",,"Ash, A. and Lissarrague, A. and Giacon, J","now, today","Adv",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"biirr, biyarr, milan, -DHuul","piːr",,"Ash, A. and Lissarrague, A. and Giacon, J","one","Num",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"dhayn","t̪ajn",,"Ash, A. and Lissarrague, A. and Giacon, J","person, Aborigine","N",,,,,,
"Yuwaalaraay","Central NSW",,,,,"5",,"gulungguluu, nhuwi","kuluŋkuluː",,"Ash, A. and Lissarrague, A. and Giacon, J","rotten","Adj",,,,,,
